event_id,weapon_type_id,weapon_subtype_id
202011290003,5,5
202011290004,6,8
202011290005,6,11
202011290007,6,11
202011290011,6,16
202011290012,5,5
202011290013,6,8
202011290022,6,17
202011290023,6,8
202011290024,6,15
202011290025,5,5
202011290027,6,8
202011290035,5,5
202011290036,5,5
202011300001,6,29
202011300002,6,29
202011300003,5,5
202011300004,5,5
202011300005,6,11
202011300005,5,2
202011300006,6,11
202011300007,6,11
202011300008,5,5
202011300009,5,5
202011300010,5,5
202011300012,6,16
202011300013,5,5
202011300014,6,15
202011300015,5,5
202011300015,9,23
202011300016,5,5
202011300016,9,23
202011300017,5,5
202011300017,9,23
202011300018,5,5
202011300021,6,16
202011300022,6,11
202011300023,6,11
202012010002,5,5
202012010004,6,29
202012010005,6,16
202012010006,6,7
202012010007,5,5
202012010009,6,16
202012010010,5,5
202012010014,6,8
202012010015,8,19
202012010022,5,5
202012010026,5,5
202012010029,5,5
202012010030,5,5
202012010031,5,5
202012010032,6,11
202012010034,6,9
202012020004,5,5
202012020006,5,5
202012020007,6,17
202012020009,9,23
202012020011,5,5
202012020012,5,5
202012020016,5,5
202012020017,5,5
202012020018,9,23
202012020019,6,15
202012020025,6,11
202012030001,6,15
202012030003,6,17
202012030004,6,11
202012030005,5,4
202012030006,6,16
202012030006,5,4
202012030011,5,2
202012030011,8,18
202012030015,5,5
202012030016,6,7
202012030022,5,5
202012030023,6,16
202012040001,5,5
202012040003,6,14
202012040005,5,5
202012040008,8,20
202012040009,8,20
202012050001,5,5
202012050003,5,5
202012050004,5,5
202012050005,6,15
202012050008,5,5
202012050008,8,18
202012050009,6,16
202012050010,6,15
202012050014,5,4
202012050015,5,5
202012050017,6,8
202012050020,5,5
202012050021,5,2
202012060003,5,5
202012060005,5,5
202012060017,5,5
202012060018,5,5
202012060019,5,5
202012060020,5,5
202012060024,6,8
202012060025,6,8
202012060026,6,8
202012060027,5,5
202012060030,5,5
202012060033,6,11
202012070001,5,2
202012070003,5,5
202012070003,8,18
202012070006,6,15
202012070009,6,15
202012070010,5,5
202012070010,8,18
202012070016,6,7
202012070021,5,2
202012070022,5,5
202012070025,5,5
202012070028,5,2
202012070028,5,3
202012070029,6,16
202012070030,6,16
202012070031,5,5
202012070032,5,5
202012080004,6,11
202012080005,6,16
202012080009,5,5
202012080010,9,23
202012080011,5,5
202012080012,5,5
202012080015,8,20
202012080041,5,5
202012090001,5,5
202012090002,6,29
202012090003,6,7
202012090007,6,15
202012090007,5,5
202012090008,6,15
202012090010,5,5
202012090011,5,2
202012090012,5,5
202012090013,6,29
202012090016,5,5
202012090016,8,18
202012090016,9,23
202012090017,5,5
202012090018,5,4
202012090020,5,5
202012090022,5,5
202012090029,6,16
202012090035,5,5
202012090035,9,23
202012100001,5,5
202012100002,6,7
202012100004,6,15
202012100019,5,5
202012100023,6,16
202012100024,6,16
202012100026,5,5
202012100031,8,18
202012100032,5,5
202012100032,8,18
202012100033,6,8
202012100034,6,15
202012100035,5,2
202012100038,5,5
202012100038,8,18
202012100039,6,12
202012100039,5,5
202012110003,5,5
202012110008,5,5
202012110009,6,7
202012110011,8,18
202012110018,6,16
202012110019,6,13
202012110022,6,16
202012110024,5,5
202012110027,6,15
202012110030,5,2
202012110030,5,5
202012110035,6,7
202012110035,5,2
202012120001,5,5
202012120003,6,7
202012120004,6,7
202012120005,5,5
202012120005,8,18
202012120009,6,11
202012120010,6,11
202012120011,6,11
202012120012,6,11
202012120013,6,16
202012120014,6,16
202012120015,5,5
202012120016,6,10
202012120017,5,5
202012120018,6,11
202012120020,6,11
202012120020,5,2
202012120021,6,16
202012120021,5,5
202012120022,6,16
202012120022,5,5
202012120023,6,16
202012120023,5,5
202012120024,6,16
202012120024,5,5
202012120025,6,16
202012120025,5,5
202012120026,6,15
202012120028,6,16
202012120029,6,16
202012130002,6,8
202012130005,6,29
202012130006,5,5
202012130007,6,7
202012130009,5,5
202012130012,5,5
202012130013,6,8
202012130021,6,16
202012130022,6,11
202012130023,5,5
202012130027,8,18
202012130030,8,18
202012130031,5,5
202012130035,8,19
202012130036,8,18
202012130043,5,5
202012130044,5,3
202012130044,8,20
202012130044,9,23
202012140001,6,16
202012140003,6,11
202012140004,6,16
202012140006,5,2
202012140015,6,16
202012140015,5,5
202012140016,6,11
202012140017,6,8
202012140019,8,18
202012140020,6,7
202012140021,6,8
202012140023,5,5
202012140024,6,16
202012140026,5,4
202012140027,5,2
202012140027,8,19
202012140028,8,18
202012140030,6,16
202012140034,5,5
202012140036,8,18
202012150001,6,29
202012150004,5,5
202012150005,6,29
202012150012,5,3
202012150013,6,17
202012150014,6,15
202012150019,5,5
202012150020,6,16
202012150026,5,5
202012150026,9,23
202012150027,6,16
202012150028,8,18
202012150029,5,3
202012150031,5,3
202012150031,9,22
202012150034,6,11
202012160002,6,29
202012160004,5,5
202012160006,6,16
202012160007,5,5
202012160008,6,17
202012160009,5,5
202012160010,6,29
202012160011,6,8
202012160015,5,5
202012160015,9,23
202012160016,5,5
202012160016,9,23
202012160021,6,16
202012160022,6,16
202012160023,5,5
202012160029,5,5
202012160030,5,5
202012160031,6,29
202012160037,6,29
202012160038,5,3
202012160039,9,23
202012170001,5,5
202012170002,6,7
202012170003,6,7
202012170003,5,5
202012170015,8,18
202012170018,5,5
202012170022,5,5
202012170024,5,5
202012170025,6,16
202012170026,5,5
202012170026,8,18
202012170026,9,23
202012170028,8,18
202012170028,9,23
202012170028,9,27
202012170033,6,16
202012170034,6,16
202012170035,8,18
202012170036,5,5
202012170037,6,16
202012170038,5,5
202012180001,6,16
202012180002,5,5
202012180003,5,5
202012180005,8,18
202012180006,6,15
202012180007,6,16
202012180009,6,13
202012180010,5,2
202012180010,5,5
202012180010,8,18
202012180012,6,13
202012180015,6,12
202012180016,6,16
202012180028,8,18
202012190001,6,8
202012190018,5,2
202012190020,6,11
202012190021,5,5
202012190023,5,5
202012190028,6,8
202012190030,6,8
202012190031,5,2
202012190031,5,3
202012190032,6,8
202012190033,5,5
202012200001,6,16
202012200003,6,16
202012200004,6,11
202012200005,6,16
202012200007,6,16
202012200008,6,16
202012200009,5,4
202012200010,6,16
202012200011,6,11
202012200012,6,11
202012200013,6,7
202012200013,5,5
202012200014,6,15
202012200015,6,16
202012200016,6,8
202012200017,6,11
202012200018,5,5
202012200020,9,21
202012200020,9,22
202012200021,5,5
202012200027,6,16
202012200027,5,5
202012200028,6,15
202012200030,6,29
202012200031,5,5
202012200033,6,17
202012210001,6,13
202012210002,6,8
202012210003,5,3
202012210005,5,5
202012210009,6,29
202012210014,5,2
202012210015,5,5
202012210016,5,5
202012210018,5,3
202012210019,5,5
202012210025,6,12
202012210026,5,5
202012220001,6,29
202012220002,6,8
202012220005,6,16
202012220007,6,16
202012220008,6,16
202012220009,6,17
202012220010,5,5
202012220013,6,15
202012220013,6,11
202012220023,5,5
202012220026,5,5
202012220026,9,23
202012220027,5,5
202012220028,5,5
202012220029,5,5
202012220035,5,5
202012220035,8,18
202012220035,9,23
202012230001,5,2
202012230002,6,29
202012230003,6,16
202012230004,6,7
202012230006,5,5
202012230006,8,18
202012230006,9,23
202012230007,9,23
202012230009,5,5
202012230010,6,7
202012230011,5,5
202012230012,5,5
202012230012,9,27
202012230016,6,16
202012230017,6,16
202012230019,5,5
202012230020,6,16
202012240001,5,5
202012240002,6,16
202012240003,6,16
202012240004,5,5
202012240006,6,16
202012240007,6,11
202012240008,5,5
202012240009,5,5
202012240009,8,18
202012240010,5,5
202012240010,8,18
202012240011,6,7
202012240015,6,7
202012240019,5,5
202012240025,6,29
202012240030,6,17
202012250003,6,15
202012250004,6,16
202012250014,6,16
202012250015,5,5
202012250016,5,5
202012250017,5,3
202012250017,9,21
202012250017,9,22
202012250018,5,5
202012250022,8,18
202012250023,8,18
202012250024,8,18
202012250025,8,18
202012250026,8,18
202012250027,6,11
202012250028,6,16
202012250030,5,5
202012250031,5,4
202012260001,5,5
202012260002,6,29
202012260003,6,16
202012260004,6,16
202012260005,5,5
202012260006,6,11
202012260006,5,2
202012260007,6,15
202012260009,6,29
202012260010,6,16
202012260012,5,5
202012260012,8,18
202012260013,5,5
202012260013,8,18
202012260014,5,5
202012260014,8,18
202012260015,5,5
202012260015,8,18
202012260017,6,8
202012260027,6,16
202012260028,6,16
202012260029,6,16
202012260030,6,16
202012260031,6,16
202012260032,6,16
202012260033,6,16
202012260034,6,16
202012260035,6,16
202012260036,6,16
202012260037,6,16
202012260038,6,16
202012260039,6,16
202012260041,6,8
202012270001,5,5
202012270003,5,5
202012270005,6,29
202012270006,6,8
202012270011,6,7
202012270013,8,18
202012270014,5,2
202012270014,9,23
202012270015,5,5
202012270015,8,18
202012270016,5,5
202012270017,5,5
202012270018,5,5
202012270019,5,5
202012270021,6,11
202012270022,5,5
202012270025,5,2
202012270025,8,18
202012270026,5,5
202012280001,6,29
202012280002,5,5
202012280003,6,16
202012280006,6,8
202012280008,6,29
202012280009,6,15
202012280009,5,5
202012280010,6,17
202012280011,6,8
202012280012,5,3
202012280017,9,23
202012280018,6,16
202012280022,8,18
202012280023,6,8
202012290001,6,8
202012290004,6,8
202012290005,6,7
202012290007,5,5
202012290010,6,8
202012290014,6,13
202012290015,6,17
202012290017,6,17
202012290019,6,11
202012290022,6,16
202012290022,5,2
202012290023,5,2
202012290024,6,16
202012290025,6,8
202012290025,5,5
202012290026,6,8
202012290030,5,5
202012290031,5,5
202012290032,6,11
202012290032,5,4
202012290033,6,11
202012290033,5,4
202012290034,6,11
202012290034,5,4
202012290035,6,11
202012290035,5,4
202012290036,5,5
202012290036,8,18
202012290037,5,5
202012290038,5,5
202012300001,5,4
202012300002,5,5
202012300003,6,16
202012300003,5,5
202012300008,6,11
202012300008,5,5
202012300009,6,12
202012300012,6,17
202012300013,6,16
202012300014,6,7
202012300015,5,5
202012300016,6,8
202012300016,6,16
202012300017,8,18
202012310001,5,5
202012310002,6,16
202012310003,6,8
202012310004,6,29
202012310005,5,5
202012310006,6,11
202012310006,5,5
202012310007,6,16
202012310008,5,5
202012310010,6,17
202012310012,8,18
202012310012,9,23
202012310013,6,16
202012310014,8,20
202012310017,8,18
202012310018,5,5
202012310019,5,5
